36 44 9.0
39 45 9.0
41 23 9.0
44 28 9.0
45 41 9.0
49 37 9.0
55 39 9.0
22 59 8.0
23 48 8.0
24 42 8.0
25 47 8.0
27 19 8.0
33 50 8.0
33 52 8.0
34 30 8.0
35 39 8.0
37 22 8.0
42 51 8.0
44 55 8.0
47 40 8.0
47 46 8.0
47 47 8.0
48 36 8.0
49 42 8.0
49 43 8.0
50 45 8.0
51 42 8.0
52 38 8.0
67 29 8.0
13 55 7.0
21 39 7.0
22 10 7.0
23 14 7.0
24 47 7.0
25 15 7.0
27 15 7.0
27 56 7.0
28 56 7.0
39 47 7.0
40 50 7.0
40 58 7.0
41 50 7.0
42 21 7.0
43 42 7.0
43 52 7.0
44 21 7.0
44 52 7.0
46 24 7.0
46 41 7.0
48 41 7.0
50 30 7.0
50 32 7.0
52 41 7.0
56 53 7.0
61 43 7.0
62 56 7.0
13 31 6.0
16 54 6.0
16 56 6.0
18 58 6.0
19 39 6.0
19 40 6.0
21 40 6.0
22 58 6.0
23 53 6.0
24 9 6.0
25 36 6.0
26 45 6.0
26 46 6.0
27 16 6.0
29 17 6.0
29 44 6.0
30 19 6.0
31 15 6.0
31 37 6.0
33 21 6.0
33 22 6.0
35 27 6.0
35 53 6.0
36 41 6.0
36 57 6.0
38 27 6.0
40 26 6.0
40 53 6.0
43 22 6.0
43 28 6.0
43 41 6.0
44 26 6.0
44 27 6.0
47 34 6.0
50 58 6.0
52 54 6.0
53 37 6.0
55 40 6.0
55 56 6.0
58 57 6.0
61 36 6.0
62 35 6.0
63 60 6.0
14 54 5.0
15 35 5.0
15 54 5.0
16 58 5.0
17 46 5.0
18 47 5.0
19 50 5.0
19 56 5.0
20 40 5.0
21 10 5.0
22 37 5.0
23 9 5.0
23 58 5.0
24 44 5.0
25 40 5.0
25 48 5.0
26 48 5.0
27 47 5.0
27 48 5.0
29 49 5.0
29 50 5.0
30 59 5.0
31 17 5.0
31 49 5.0
32 15 5.0
32 19 5.0
32 20 5.0
32 37 5.0
34 18 5.0
35 18 5.0
35 21 5.0
35 44 5.0
36 34 5.0
36 48 5.0
37 25 5.0
37 45 5.0
37 50 5.0
39 46 5.0
40 46 5.0
40 54 5.0
41 21 5.0
41 53 5.0
47 25 5.0
48 40 5.0
48 47 5.0
49 47 5.0
50 31 5.0
50 37 5.0
50 39 5.0
50 43 5.0
51 38 5.0
53 25 5.0
53 31 5.0
54 30 5.0
54 51 5.0
55 61 5.0
56 29 5.0
57 56 5.0
62 57 5.0
64 56 5.0
65 37 5.0
66 34 5.0
67 25 5.0
68 27 5.0
10 46 4.0
11 32 4.0
12 35 4.0
12 46 4.0
13 4 4.0
13 33 4.0
13 59 4.0
16 35 4.0
17 47 4.0
18 44 4.0
18 50 4.0
20 42 4.0
21 49 4.0
21 53 4.0
22 11 4.0
22 54 4.0
23 44 4.0
24 53 4.0
25 46 4.0
26 44 4.0
27 17 4.0
28 38 4.0
28 52 4.0
28 55 4.0
29 39 4.0
30 16 4.0
31 31 4.0
32 58 4.0
33 39 4.0
33 53 4.0
34 44 4.0
34 46 4.0
35 17 4.0
35 22 4.0
35 36 4.0
36 53 4.0
37 17 4.0
37 37 4.0
37 39 4.0
37 44 4.0
39 24 4.0
39 28 4.0
40 19 4.0
40 23 4.0
40 27 4.0
40 42 4.0
40 43 4.0
41 24 4.0
41 26 4.0
41 60 4.0
42 23 4.0
42 39 4.0
43 43 4.0
43 58 4.0
45 45 4.0
46 22 4.0
46 25 4.0
46 55 4.0
47 42 4.0
47 53 4.0
49 46 4.0
50 42 4.0
50 49 4.0
51 23 4.0
51 24 4.0
51 44 4.0
52 33 4.0
52 42 4.0
53 27 4.0
53 40 4.0
54 59 4.0
55 38 4.0
56 30 4.0
56 61 4.0
57 55 4.0
59 21 4.0
59 24 4.0
59 56 4.0
60 37 4.0
60 40 4.0
62 38 4.0
64 43 4.0
66 26 4.0
67 36 4.0
68 23 4.0
11 33 3.0
12 47 3.0
15 55 3.0
